,0_n,0_l,0_s,0_p,5_n,5_l,5_s,5_p,1_n,1_l,1_s,1_p,6_n,6_l,6_s,6_p,4_n,4_l,4_s,4_p,3_n,3_l,3_s,3_p,2_n,2_l,2_s,2_p
1545,STRN3,0.07284004,-0.5771495,0.5638384529820906,KCNE4,-1.5886673,-0.09815071,0.9218126239092355,TMEM273,-0.8341111,-0.13264008,0.8944780341897722,HEY2,-0.9713128,-0.10859524,0.9135235401165797,CFAP126,-1.5653193,-0.05518439,0.9559915655143336,AC138474.1,-21.889954,-0.07682752,0.9387607562865828,TINCR,-0.024623781,-0.17537212,0.8607872444799021
1546,AC018647.1,-0.36137566,-0.5790332,0.5625667852576552,NUP37,-1.6913277,-0.098248154,0.9217352486286923,SLC7A6OS,-0.27807453,-0.13368471,0.8936518977306701,CAMKMT,-0.15357089,-0.10872922,0.9134172644467695,KCNE5,-1.5543268,-0.05518439,0.9559915655143336,RGS22,-21.882742,-0.07682752,0.9387607562865828,KLHL1,-1.168404,-0.17705598,0.8594644139627687
1547,INTS12,-0.59091353,-0.5828963,0.5599631287815721,PDIA4,-0.19517486,-0.098711014,0.9213677261746097,TNFRSF12A,-0.37657306,-0.13399114,0.8934095862127975,RPS27L,-0.11284272,-0.10908651,0.9131338702348406,AL731571.1,-1.5154533,-0.055218805,0.9559641481537738,CCNJL,-21.65631,-0.07682752,0.9387607562865828,TMEM88,-0.81952864,-0.17707874,0.8594465405668983
1548,NR3C2,-0.100073226,-0.58720636,0.5570651358026463,MICALL1,-1.0335395,-0.09995343,0.9203813017783069,PGM2,-0.35869002,-0.13528648,0.892385379525691,IBA57,-0.0074082585,-0.111408934,0.9112920786851929,PTPRC,-0.4843491,-0.055494122,0.9557448111477088,LSMEM2,-21.761677,-0.07682752,0.9387607562865828,GDPD5,0.110072464,-0.17848955,0.8583385310321932
1549,SEMA3B,0.06665195,-0.59475696,0.5520059595063418,S100A4,-0.31360272,-0.10002651,0.9203232806136609,AC079610.2,-22.027897,-0.13538398,0.8923082959413013,SOWAHC,-1.5646245,-0.11190021,0.9109025296616609,SDC3,-0.054483376,-0.05619963,0.9551827754052006,HCFC1-AS1,-21.73882,-0.07682752,0.9387607562865828,ZNF529,0.24949029,-0.1821986,0.8554268745883257
1550,STC2,-0.32163134,-0.59521985,0.5516965130759983,PAWR,-0.47697192,-0.101561256,0.9191049346066867,LILRB2,-22.030474,-0.13538398,0.8923082959413013,PRRX2,-1.8606447,-0.11212352,0.9107254689973231,GP6,-21.198868,-0.058075245,0.953688691941354,AC027307.2,-21.944815,-0.07682752,0.9387607562865828,BTN3A1,-0.29914427,-0.18390521,0.8540878137707659
1551,TEX261,0.07763615,-0.5985243,0.5494901844889262,SMIM6,-22.589499,-0.10402172,0.917152110659203,TENT5C,-1.8457265,-0.13634503,0.8915485265971526,CCDC88C,-0.6485301,-0.11265946,0.9103005415070736,NLRP12,-21.50621,-0.058075245,0.953688691941354,AC010503.4,-21.656876,-0.07682752,0.9387607562865828,INTS6-AS1,-0.63624966,-0.18472439,0.8534452136036766
1552,CUEDC1,-0.109650664,-0.6009187,0.5478941187365137,AC010538.1,-22.458534,-0.10402172,0.917152110659203,TBXAS1,-0.9816724,-0.13694395,0.8910750974572267,LYL1,-0.92920274,-0.11426729,0.9090259134536148,SYPL2,-21.38217,-0.058075245,0.953688691941354,AC023509.3,-21.85955,-0.07682752,0.9387607562865828,AC008397.2,-23.1159,-0.1852705,0.8530168674844395
1553,LCMT2,-1.7976114,-0.60380805,0.545971255267618,GNLY,-22.458971,-0.10402172,0.917152110659203,MISP,-0.55757564,-0.14170747,0.8873110805561589,PLN,-22.66286,-0.115361504,0.9081585919557522,SH2D2A,-21.280338,-0.058075245,0.953688691941354,AL391834.2,-21.814627,-0.07682752,0.9387607562865828,BAALC-AS1,-23.338715,-0.19332574,0.8467038617665282
1554,CCDC50,-0.0230232,-0.60827774,0.5430032664558637,AVPR1A,-22.509537,-0.10402172,0.917152110659203,PARP14,-0.32137796,-0.14308637,0.8862219670592689,AVPR1A,-22.533352,-0.115361504,0.9081585919557522,FAM169B,-21.065113,-0.058075245,0.953688691941354,OLFML1,-21.752901,-0.07682752,0.9387607562865828,RBM7,-0.048137058,-0.19769469,0.8432839424009219
1555,PPAT,-0.40775347,-0.6089642,0.5425481810415107,AC097468.3,-22.40197,-0.10402172,0.917152110659203,ZNF850,-2.3075087,-0.14420064,0.8853420322164566,LRRC25,-22.467367,-0.115361504,0.9081585919557522,AL031600.3,-21.188074,-0.058075245,0.953688691941354,TPSAB1,-21.82922,-0.07682752,0.9387607562865828,C8orf44,-0.25485617,-0.20033427,0.8412191678982848
1556,TRADD,-0.5543826,-0.6109436,0.5412369071904489,MAP7D3,-1.2243317,-0.10511797,0.9162822008193996,TBC1D8,-2.5405326,-0.14433993,0.8852320502796234,SLC17A9,-22.507437,-0.115361504,0.9081585919557522,ACADL,-21.26666,-0.058075245,0.953688691941354,AL132822.1,-21.858597,-0.07682752,0.9387607562865828,TRIM16L,-0.66285324,-0.20060731,0.8410056326009382
1557,RSAD1,-0.09873006,-0.6119174,0.5405924264237318,PTK6,-1.4167159,-0.10550775,0.915972923645764,ANKS3,-0.27471828,-0.14503635,0.8846821738034386,FAM83G,-22.67689,-0.115361504,0.9081585919557522,GHRLOS,-21.254875,-0.058075245,0.953688691941354,RASSF10,-22.0047,-0.07682752,0.9387607562865828,OTOS,-0.713766,-0.2009714,0.8407209370685519
1558,SLC39A4,-0.2821748,-0.6131785,0.5397583416036459,EYA2,-1.1359419,-0.10738355,0.91448470595993,AL121894.2,-1.2554575,-0.14509206,0.8846381860811312,AC010538.1,-22.482346,-0.115361504,0.9081585919557522,ARMCX3-AS1,-21.184795,-0.058075245,0.953688691941354,LINC01139,-21.878052,-0.07682752,0.9387607562865828,THRSP,-0.6399346,-0.2010169,0.840685351590887
1559,LUM,-0.056624312,-0.6213995,0.5343367913689915,AC025159.1,-0.68254286,-0.11123259,0.911431904816582,OSGIN1,-0.8588864,-0.1456492,0.8841983284368766,MYCN,-0.9080629,-0.11623241,0.907468353037637,HMCN2,-21.217709,-0.058075245,0.953688691941354,SH3RF3-AS1,-21.662844,-0.07682752,0.9387607562865828,AGO4,-0.16855434,-0.20342892,0.838799788880521
1560,VCL,-0.11804268,-0.6258054,0.5314426170556519,AC003684.1,-22.48206,-0.11145184,0.9112580499953318,HELZ2,-0.7278634,-0.14695847,0.8831648036998183,PODN,-1.0868815,-0.11699166,0.9068666632762131,AC008040.5,-21.31179,-0.058075245,0.953688691941354,AC092171.2,-21.750294,-0.07682752,0.9387607562865828,OLFML3,-0.11981745,-0.20518106,0.8374306670654972
1561,YJU2,-0.12416631,-0.6293013,0.5291518211413895,HSPA6,-0.89099306,-0.11203651,0.9107944579301729,HIST1H4H,-0.21659622,-0.14779417,0.8825052109152722,LRRC41,-0.17463599,-0.11699166,0.9068666632762131,AL139412.1,-21.224781,-0.058075245,0.953688691941354,AL035420.3,-21.898352,-0.07682752,0.9387607562865828,SPDEF,0.23380035,-0.20552239,0.8371640121688766
1562,SPINT1-AS1,-1.0455639,-0.62954074,0.5289951013326133,SCRT2,-1.4915147,-0.11305968,0.9099832449786477,STK3,-0.61113924,-0.1479056,0.8824172713557882,HIST1H4H,-0.28542945,-0.117907226,0.9061411673227615,IMPG2,-21.35517,-0.058075245,0.953688691941354,AKR1E2,-21.815947,-0.07682752,0.9387607562865828,HAT1,-0.057519376,-0.20666012,0.8362752977729233
1563,CTHRC1,-1.1213459,-0.63262165,0.526980749041809,LAD1,-1.7017807,-0.1131084,0.9099446181243867,C2CD5,-0.12465129,-0.14843488,0.8819995782583797,AC003102.1,-1.196699,-0.11967137,0.9047434818353249,AL138960.1,-21.109852,-0.058075245,0.953688691941354,CYP2S1,-21.77459,-0.07682752,0.9387607562865828,TSKU,-0.09170065,-0.20691043,0.8360798086065879
1564,ZNHIT2,-0.3625561,-0.64015627,0.5220710059804488,ZBTB42,-0.87215036,-0.11413156,0.9091335034966616,MYO10,-0.27589816,-0.1508027,0.8801313546339248,CPQ,-0.55792195,-0.11971603,0.904708101203817,CD3G,-21.296995,-0.058075245,0.953688691941354,CEP78,-0.39025077,-0.0768868,0.9387135967867876,TMEM238,-0.62152046,-0.20857154,0.8347827285058708
1565,TMEM191C,-0.3958755,-0.6406511,0.5217493690025814,VCL,-0.27225706,-0.11620225,0.9074922526655833,TNIP3,-22.3224,-0.15230697,0.8789448289669048,NBPF15,-1.4143038,-0.12002866,0.904460442083928,LINC02356,-21.397985,-0.058075245,0.953688691941354,EFNA4,-0.41944498,-0.07908018,0.9369688477918799,IL33,-0.45672128,-0.21617168,0.8288539255301586
1566,HIPK2,0.123686686,-0.64909565,0.5162765418418465,SYNE4,-0.85069984,-0.11695744,0.9068937767334561,LINC02123,-22.23308,-0.15230697,0.8789448289669048,RRM2,-1.7138524,-0.120251976,0.9042835484009071,C5orf46,-21.29467,-0.058075245,0.953688691941354,MYO1G,-0.20016773,-0.07943586,0.9366859438172371,COQ2,-0.4460406,-0.21644475,0.8286410938128047
1567,ARID2,-0.49372247,-0.6512188,0.5149052732362178,ROPN1B,-22.518839,-0.11888197,0.9053688681656645,NGFR,-22.338245,-0.15230697,0.8789448289669048,MS4A6A,-1.8860344,-0.12043062,0.9041420368741644,AC027088.2,-21.203768,-0.058075245,0.953688691941354,MFSD9,-0.71312237,-0.079514906,0.9366230773515405,LCORL,-0.66295636,-0.21658127,0.8285346826700999
1568,SP4,-1.6248425,-0.6527193,0.5139372484649893,DTL,-22.823467,-0.11888197,0.9053688681656645,OMD,-22.326622,-0.15230697,0.8789448289669048,LYAR,-0.58822787,-0.1205646,0.9040359052268381,SPAG17,-21.12418,-0.058075245,0.953688691941354,FAM178B,-1.4428662,-0.07991011,0.9363087509574954,ST8SIA6-AS1,-23.35796,-0.21749146,0.8278253555539197
1569,FAM107B,-0.22334927,-0.65417194,0.5130010208551962,BTN3A1,-0.7478583,-0.1192961,0.9050407687045228,LINC01354,-22.434803,-0.15230697,0.8789448289669048,RGCC,-0.11075225,-0.12257439,0.9024441372994237,AC137630.1,-21.233187,-0.058075245,0.953688691941354,CXCL17,-1.3792856,-0.07998915,0.9362458868683058,SLC29A2,-0.87899387,-0.21844718,0.8270807132022899
1570,COL6A2,0.0060850102,-0.6600624,0.5092137948821881,ROM1,-0.52093995,-0.11963716,0.9047705813168878,C9orf152,-1.78661,-0.1531566,0.8782747816426916,IGHE,-22.81635,-0.12360161,0.9016307180376613,AL158058.1,-21.464525,-0.058075245,0.953688691941354,FAAH2,-1.7120671,-0.080068186,0.9361830231765665,AL031056.1,-0.7415234,-0.21944839,0.8263007784252059
1571,LTN1,-0.41623327,-0.6726574,0.501165305695157,GSTM2,-1.7653421,-0.12056288,0.9040372712105647,AC010931.2,-1.9904957,-0.15324017,0.8782088800503964,MAP3K7CL,-22.633331,-0.12360161,0.9016307180376613,LINC02019,-21.20244,-0.058075245,0.953688691941354,FGFR3,-0.09115732,-0.08020651,0.9360730126735615,CREB3L1,-0.1760811,-0.21972145,0.8260880986467605
1572,DPH5,-0.6370202,-0.6753711,0.49944002429223877,MLX,-0.16195753,-0.12126935,0.9034776948402612,NPAS4,-1.0786176,-0.15375552,0.8778025055640188,AC067750.1,-22.66951,-0.12360161,0.9016307180376613,ZNF676,-21.112808,-0.058075245,0.953688691941354,CSTF3,-0.13501419,-0.080443636,0.9358844260804764,SF3B4,0.32102135,-0.22172388,0.8245288377924943
1573,SUSD3,-0.8787394,-0.6755786,0.49930822094987326,FGD3,-0.38681966,-0.121391155,0.9033812209932228,AL390719.2,-1.1272993,-0.15400623,0.8776048215038722,C11orf96,-0.32342783,-0.124048226,0.9012770896503589,VWA3B,-21.2848,-0.058075245,0.953688691941354,AC091729.3,-0.7269798,-0.08062147,0.9357429884957792,KCTD5,-0.3881085,-0.22304367,0.8235015211928385
1574,DTNA,0.21479997,-0.67626506,0.4988723877011948,KCNK6,-1.0234183,-0.12165913,0.903168983552863,RAB7B,-1.0023066,-0.15535729,0.8765396557663024,KCNE4,-1.1512761,-0.12775517,0.8983427366801281,AC009063.2,-21.210072,-0.058075245,0.953688691941354,SH3BP5-AS1,-0.7098095,-0.08251845,0.9342344479967631,SGSH,-0.40980464,-0.2239311,0.8228109092506176
1575,FLVCR1,-0.7980391,-0.67629695,0.4988521213091087,VIM,-0.109043665,-0.12285282,0.9022236464959155,CENPF,-0.6723063,-0.1557055,0.8762651646711053,VRK2,-1.4986011,-0.1282911,0.8979186068948077,PTGER1,-21.213339,-0.058075245,0.953688691941354,NBPF15,-0.7586881,-0.08283461,0.9339830473909361,ZNF736,-0.52579594,-0.22395386,0.8227932030543474
1576,ZNF641,-0.5380345,-0.68119764,0.4957464256433791,SLC6A9,-0.37425175,-0.12390035,0.9013941791524072,PODN,-0.9670679,-0.15715405,0.8751234418077244,USH1C,-2.1406589,-0.12869306,0.8976005286859821,LINC01277,-21.296934,-0.058075245,0.953688691941354,KANK1,-0.27768108,-0.084494464,0.9326633028073963,ACE,-0.6086906,-0.22468202,0.8222266524634129
1577,RNF217,-2.103121,-0.68229914,0.49504982602755376,PARVG,-22.957333,-0.12631209,0.8994848859745986,RASEF,-0.47524628,-0.15720977,0.8750795345648384,CCL19,-0.5990852,-0.12909502,0.8972824669305998,RAB7B,-0.52536315,-0.0581957,0.953592747132406,CERNA1,0.0040984317,-0.084613025,0.9325690423764984,ALDH7A1,0.16699007,-0.22511436,0.8218903068838812
1578,ATP11A,-0.21754949,-0.68389547,0.49404119028723614,OASL,-22.723074,-0.12631209,0.8994848859745986,RGCC,-0.15104732,-0.15759976,0.8747721946400241,C15orf48,-0.8160023,-0.12972029,0.8967877370228083,SARS2,-0.22085853,-0.06084565,0.9514821339479843,BGLAP,-22.035595,-0.08643096,0.9311238349661611,ARMH4,-1.1177797,-0.2252509,0.8217840992881706
1579,BCL9,-1.1658571,-0.6948941,0.4871216762598739,FAAH2,-22.84915,-0.12631209,0.8994848859745986,CYP2U1,-0.4686262,-0.15759976,0.8747721946400241,IL7R,-22.829979,-0.13184172,0.8951094892751175,BAALC-AS1,-0.68702346,-0.06113818,0.9512491647677405,AC012511.1,-21.961504,-0.08643096,0.9311238349661611,LINC01411,-0.7043471,-0.22547844,0.8216070938877882
1580,HGH1,-0.8869238,-0.7034344,0.4817850729929136,SCIN,-22.674416,-0.12631209,0.8994848859745986,PGBD1,-0.577341,-0.15789226,0.8745417020901473,TXLNB,-22.737883,-0.13184172,0.8951094892751175,Z93930.2,-0.8347151,-0.063736506,0.9491800354398809,DNAH2,-21.919054,-0.08643096,0.9311238349661611,SFTA1P,-23.393436,-0.2255467,0.821553994038162
1581,SLC31A2,-0.61203694,-0.71061784,0.4773210828145592,TESMIN,-22.789326,-0.12631209,0.8994848859745986,RIN3,-0.7771831,-0.15842153,0.8741246474043712,FBN2,-22.861406,-0.13184172,0.8951094892751175,HOXD8,-0.92780805,-0.06383975,0.949097825366356,LINC00504,-22.02251,-0.08643096,0.9311238349661611,GAREM1,-0.036192954,-0.22873239,0.819076914344888
1582,NMD3,-0.16839771,-0.7133156,0.4756504712976325,GP2,-22.761944,-0.12631209,0.8994848859745986,NEK8,-2.3245718,-0.16113757,0.8719850509578563,AC092171.3,-22.612123,-0.13184172,0.8951094892751175,FZD1,-0.30645058,-0.06499265,0.9481798498880951,IL18,-0.74057776,-0.08643096,0.9311238349661611,APOL1,-0.8027045,-0.23287378,0.8158594117519278
1583,CELSR1,-1.0796751,-0.7171627,0.4732736771813256,CXCL17,-22.821655,-0.12631209,0.8994848859745986,AF001548.2,-2.433612,-0.16119328,0.8719411715464774,C9orf152,-22.680443,-0.13184172,0.8951094892751175,ADAMTS3,-0.008439426,-0.065732576,0.9475907376074317,CD22,-0.82381105,-0.086747125,0.9308725175920437,TOP1MT,-23.471838,-0.23360194,0.815294016131698
1584,SBNO2,-0.76547617,-0.720962,0.4709328964504861,ZNF33B,-0.823606,-0.12682368,0.899079958784841,PAXIP1-AS2,-2.5834491,-0.16127685,0.8718753531683208,FDCSP,-22.797773,-0.13184172,0.8951094892751175,GNB4,-0.35063717,-0.066076726,0.9473167416384078,IGSF1,-0.41195378,-0.08828842,0.9296474445583285,PSMB8-AS1,-1.777034,-0.23364745,0.8152586820954724
1585,CPPED1,-0.77505636,-0.7216325,0.47052048169461413,PHYHD1,-0.6450324,-0.12692112,0.8990028327717111,RBL1,-1.0566012,-0.16322683,0.8703398437927896,DTL,-22.847298,-0.13184172,0.8951094892751175,EXOC3L1,-0.9453719,-0.06654133,0.946946856969611,Z93930.2,-1.3494139,-0.08937523,0.92878371104954,MYH11,-1.347027,-0.23469418,0.8144461030993069
1586,NBEAL2,-0.9263076,-0.725751,0.4679914565923674,TMEM37,-1.5268599,-0.12762758,0.898443697748021,FAM189A2,-0.658505,-0.16364469,0.8700108694510789,CASZ1,-0.94131625,-0.13275729,0.8943853374296472,AL024508.2,-1.3575382,-0.066678986,0.9468372637046105,CTF1,-1.5749252,-0.08953331,0.9286580840494371,ZNF548,-2.282456,-0.23487622,0.814304805363813
1587,CLIC4,-0.056938786,-0.73213625,0.4640854174502236,C1orf198,-0.29933318,-0.13079453,0.895937853828314,USH1C,-1.1602885,-0.16370039,0.8699670079038622,RUNX1,-0.7832554,-0.13400781,0.8933963943043653,FAM122C,-1.237365,-0.066678986,0.9468372637046105,HOXD8,-1.661397,-0.08965187,0.9285638649660377,NAGA,-0.6614843,-0.23628703,0.8132099530888589
1588,DIDO1,-0.17398499,-0.73394006,0.46298525838761495,SERAC1,-0.2605924,-0.13189077,0.8950706868471643,NUP37,-1.3662521,-0.16372825,0.8699450772802567,VIP,-0.13536729,-0.13411947,0.8933081038471016,LINC00115,-1.6533374,-0.06681664,0.946727671445564,HCK,-0.41092876,-0.09148956,0.9271035980481457,EBF1,-23.655975,-0.24165718,0.8090458066091107
1589,HNRNPF,0.028777342,-0.7355843,0.4619837265261182,SAMD11,-22.932644,-0.13374221,0.8936064233694508,KLHL1,-0.77763295,-0.16372825,0.8699450772802567,CYSTM1,-0.11405798,-0.13427578,0.893184499428377,AC010864.1,-1.5573419,-0.06681664,0.946727671445564,ADAMTS1,-0.41034824,-0.09200333,0.9266953950830721,UNK,-0.16257575,-0.24368237,0.807476825572437
1590,ADAMTS4,-0.5123866,-0.7390643,0.45986797353401376,CD3D,-23.047949,-0.13374221,0.8936064233694508,ST6GALNAC3,-1.0078917,-0.1647868,0.8691117878524389,MMP14,-0.84901863,-0.13626324,0.8916131847291847,VEGFD,-21.502613,-0.069690295,0.9444401663166829,NUP37,-0.79525393,-0.09227997,0.9264756014714876,AQP4,0.012738954,-0.24409196,0.8071595974816119
1591,NPY,0.01089238,-0.7422888,0.45791235581451495,C17orf113,-22.834837,-0.13374221,0.8936064233694508,BTBD7,-0.34590298,-0.16661143,0.8676758017138793,SLC26A2,-1.5166185,-0.13637489,0.8915249211887781,AL357079.1,-21.48714,-0.069690295,0.9444401663166829,KCNE4,-0.8481418,-0.09243805,0.9263500076401382,DPH5,-0.32869843,-0.24627644,0.8054682511652262
1592,PLEKHF2,-0.6180555,-0.74639136,0.45543102716342354,SH2D3A,-22.862383,-0.13374221,0.8936064233694508,PLGLB1,-0.6537392,-0.16662535,0.8676648416603776,GGT6,-1.5066034,-0.13637489,0.8915249211887781,GHRL,-21.57194,-0.069690295,0.9444401663166829,PTPRC,-0.49518052,-0.09490807,0.9243878443633472,CEP70,-0.39906734,-0.24702735,0.8048870605812495
1593,KRT7,-0.85066855,-0.7469022,0.4551225986938401,DENND4C,-22.859211,-0.13374221,0.8936064233694508,SRGAP1,-0.65449786,-0.16868676,0.8660430353195461,ROM1,-0.50538766,-0.13677685,0.8912071835791191,AC004147.3,-21.39482,-0.069690295,0.9444401663166829,SUGCT,-22.038704,-0.0960344,0.923493249875778,TRARG1,-0.81884766,-0.24871121,0.8035841770846801
1594,JAM2,0.06461097,-0.7493765,0.4536303140696958,LTF,-0.22630106,-0.13403454,0.8933752568863351,DIO1,-22.456215,-0.16922997,0.8656157610273455,SFTA1P,-1.7891603,-0.13686617,0.8911365775918689,MAB21L1,-21.831179,-0.069690295,0.9444401663166829,ARHGEF35,-21.982677,-0.0960344,0.923493249875778,NCAPG2,-1.1017773,-0.24930283,0.8031265365377136
1595,FBXO38,-0.4828837,-0.7528884,0.4515169799900479,SOX9,-0.34918213,-0.13651937,0.8914107094359139,AQP1,-0.33811224,-0.1697314,0.8652213888461517,LIMK2,-0.7062561,-0.13740212,0.8907129598144992,CTSW,-21.664534,-0.069690295,0.9444401663166829,SLC13A4,-22.260414,-0.0960344,0.923493249875778,AC091729.3,-1.8605893,-0.24989447,0.8026689634852222
1596,LAP3,-0.18146507,-0.7654674,0.44399327093555985,TJP2,-1.4383682,-0.13798104,0.8902554037798123,CXCL17,-1.6759948,-0.16994031,0.8650570770040408,NMD3,-0.17389832,-0.1378934,0.8903246709186172,LPAR4,-21.682518,-0.069690295,0.9444401663166829,AC015961.1,-22.064922,-0.0960344,0.923493249875778,SPHK1,-2.0308924,-0.25021303,0.8024226060043493
1597,RAB25,-0.68713033,-0.766952,0.4431100674900983,ABCA8,-0.6305101,-0.13958886,0.8889848367439426,VAV1,-1.7924436,-0.17005174,0.8649694464065051,AC018816.1,-1.0236845,-0.13900994,0.8894422941230659,AC025175.1,-21.290756,-0.069690295,0.9444401663166829,ZNF670,-22.272963,-0.0960344,0.923493249875778,IGHG1,0.15716897,-0.25608382,0.7978861292307644
1598,FOXN2,-0.42058873,-0.7710545,0.44067461568416055,TBC1D10C,-23.107744,-0.14117233,0.8877337993882738,CES3,-1.9599205,-0.17021888,0.8648380036238605,SYNE2,-0.1432214,-0.13947889,0.8890717366434194,RTL9,-21.281544,-0.069690295,0.9444401663166829,PERM1,-22.078312,-0.0960344,0.923493249875778,MS4A7,-0.80014545,-0.25703952,0.7971482741705844
1599,LDB3,-2.7186105,-0.7764501,0.4374832830508787,LMNTD2,-23.034225,-0.14117233,0.8877337993882738,MED12,-0.31170437,-0.17176493,0.8636223356276603,PMS1,-0.061915647,-0.13983618,0.8887894233986592,AP000866.1,-21.49877,-0.069690295,0.9444401663166829,FAM215B,-22.077393,-0.0960344,0.923493249875778,PBLD,-23.726799,-0.25776768,0.796586220498374
1600,GAREM1,-0.42786613,-0.7791798,0.4358738131305553,GDF9,-23.036251,-0.14117233,0.8877337993882738,LPXN,-0.658319,-0.17425811,0.861662615268384,DNAJC22,-22.852613,-0.14008182,0.8885953412226282,LMOD3,-21.488659,-0.069690295,0.9444401663166829,LINC01485,-22.032555,-0.0960344,0.923493249875778,ZNF776,-0.22028404,-0.2610899,0.7940231933546431
1601,GNB4,-0.2758681,-0.7797066,0.4355636071641016,TNFAIP8,-22.982128,-0.14117233,0.8877337993882738,CEBPB-AS1,-2.7387862,-0.17815806,0.858598842547191,CES3,-22.769045,-0.14008182,0.8885953412226282,BHLHE40-AS1,-21.500639,-0.069690295,0.9444401663166829,C3orf67,-22.07581,-0.0960344,0.923493249875778,CCDC50,0.080515385,-0.26737025,0.789184111206062
1602,COMP,-1.8193091,-0.78250015,0.43392070530012716,CYSRT1,-22.97071,-0.14117233,0.8877337993882738,RGS1,-2.7966967,-0.17818592,0.8585769660568836,KAT8,-0.15493916,-0.14012648,0.8885600542714147,REM1,-21.509819,-0.069690295,0.9444401663166829,AL163051.1,-22.09327,-0.0960344,0.923493249875778,SHLD2,-0.05925446,-0.267393,0.7891665929541452
1603,SEC11A,0.078764066,-0.78267574,0.4338175569647972,AC093627.4,-1.5293484,-0.14253655,0.8866562067077227,AC096564.1,-1.4197999,-0.17888235,0.8580300891329576,KCTD18,-0.6302449,-0.14021581,0.8884894810315641,FHL5,-21.540138,-0.069690295,0.9444401663166829,AL161908.1,-22.218433,-0.0960344,0.923493249875778,CCDC80,-0.28448352,-0.26919064,0.7877829885674149
1604,LRRC75A,0.105895266,-0.78275555,0.43377067604374675,CTNNA3,-1.9686294,-0.14297506,0.8863098820334643,UFSP1,-1.5443534,-0.17902163,0.8579207219148531,ZNF101,-0.7870381,-0.14032747,0.8884012657247932,AC008035.1,-21.505688,-0.069690295,0.9444401663166829,SGSH,-0.32781118,-0.09731881,0.9224732164146193,UPP1,-0.15943225,-0.2710338,0.7863650512658253
1605,HLA-C,0.029863581,-0.7875126,0.4309818663765973,TRIM14,-1.1212301,-0.14380333,0.885655772495803,NBPF19,-0.8669582,-0.18108302,0.8563024070342506,NEMP1,-0.97165835,-0.14068475,0.8881189860365843,AC005759.1,-21.641253,-0.069690295,0.9444401663166829,AL157392.5,-0.7462381,-0.09868226,0.9213905512044556,DNPEP,0.03298374,-0.27233082,0.7853676677790743
1606,FGD3,-0.5084744,-0.79068923,0.42912534590387386,SHISA2,-1.0988181,-0.14433928,0.8852325666340624,MARVELD1,-0.7838828,-0.18109696,0.8562914745210167,AC124016.1,-0.9548119,-0.14108671,0.8878014383490248,AL121761.2,-21.531502,-0.069690295,0.9444401663166829,NKAIN3,-1.2864088,-0.09895891,0.9211708977132663,ROBO3,-0.783585,-0.27326375,0.7846504692993114
1607,TNFRSF12A,-1.0224144,-0.7909606,0.4289669645017581,MFSD10,-0.20215817,-0.14492394,0.884770924852634,EYA2,-0.7695792,-0.18203016,0.8555590590553072,EDIL3,-0.11999853,-0.14175664,0.8872722322453568,CPO,-21.499165,-0.069690295,0.9444401663166829,AC074032.1,-1.2576407,-0.09895891,0.9211708977132663,AF111167.2,-1.0612739,-0.27340028,0.7845455287451812
1608,AQP1,-0.93957305,-0.79468006,0.42679963519319863,GAL3ST4,-0.6883238,-0.14753057,0.8827132499998148,LAPTM5,-0.21391201,-0.18364584,0.8542912909635555,ZNF595,-1.1018966,-0.1418013,0.8872369536226996,AC069148.1,-21.60923,-0.069690295,0.9444401663166829,AL121894.2,-1.2367339,-0.09899843,0.9211395191335817,AC104964.4,-1.572807,-0.27358234,0.7844056140998644
1609,MYO1D,-1.9303575,-0.7966276,0.42566736121803417,NBEAL2,-0.40891784,-0.14755493,0.882694023103897,Z82214.2,-22.823195,-0.18615296,0.8523248103962073,CCDC80,-0.57056224,-0.14305183,0.8862492431497732,TSKU,-0.4773776,-0.06991399,0.9442621160294017,ANGPTL1,-1.3211069,-0.09899843,0.9211395191335817,B3GAT2,-0.14198396,-0.27474284,0.7835138222180611
1610,SARS2,-0.23558281,-0.8023903,0.4223272313659385,PDLIM4,-0.33824596,-0.14777419,0.8825209841520507,S100A2,-22.668806,-0.18615296,0.8523248103962073,BICC1,-1.5527381,-0.14472665,0.8849266936527216,CKMT2,-0.68724936,-0.070292555,0.9439608065069119,GCH1,-1.4390972,-0.09907747,0.9210767623425616,SP4,-0.8720841,-0.2829346,0.7772269704746156
1611,RBCK1,0.04907344,-0.807275,0.41950805030712957,GDPD2,-22.951952,-0.14860246,0.8818673321079225,KCNE5,-22.720398,-0.18615296,0.8523248103962073,WDR66,-1.6054868,-0.14472665,0.8849266936527216,MUCL1,-0.39500365,-0.072305836,0.9423585234260803,CCR1,-1.806578,-0.09923555,0.9209512502352772,EFEMP2,-0.048715286,-0.2852101,0.7754831891535017
1612,NUDCD2,0.048098795,-0.8121598,0.41669996429216327,MYO7A,-1.3562778,-0.14964998,0.8810407697886679,C4orf47,-22.71065,-0.18615296,0.8523248103962073,PMAIP1,-1.693143,-0.14499463,0.8847151153844819,COL4A1,-0.28954336,-0.07502461,0.9401951278731092,PSME2,-0.099524885,-0.10176485,0.918943326404468,XPNPEP3,-0.31501657,-0.28534663,0.7753785981680515
