,0_n,0_l,0_s,0_p,5_n,5_l,5_s,5_p,1_n,1_l,1_s,1_p,6_n,6_l,6_s,6_p,4_n,4_l,4_s,4_p,3_n,3_l,3_s,3_p,2_n,2_l,2_s,2_p
293,AC069148.1,2.802244,0.124273516,0.901098714602599,SHLD2,0.3125337,0.3238559,0.7460471194274358,ZNF571,0.8048616,0.306355,0.7593343775793059,LRRFIP1,0.12826215,0.30709472,0.7587712683666366,CD74,0.056834277,0.66383016,0.5067990105369731,TCEA1,0.0812752,0.49254188,0.6223363275556177,SYNE4,1.260542,0.3162478,0.7518144330416351
294,AC005759.1,2.6224077,0.124273516,0.901098714602599,RAB11FIP3,0.08290028,0.32375848,0.7461208976330239,NRBP2,-0.038340226,0.30297038,0.761912429546725,CLIC4,0.020529516,0.30702773,0.7588222593915901,JADE2,0.15631843,0.6635721,0.5069642430165774,LCMT2,1.0004059,0.490882,0.6235098945283555,TNIP3,3.4227667,0.31228843,0.7548213250065035
295,LINC01124,2.4484158,0.12424159,0.9011239922872389,MYO1E,0.7013741,0.32344177,0.7463606928730677,PMS1,0.1874855,0.30244112,0.7623158215377507,SIL1,0.27178773,0.30597818,0.7596212555802999,AKT1S1,0.15344177,0.662402,0.5077136518128966,EFCAB11,1.2282097,0.48692998,0.6263079473219241,TCIRG1,1.0230206,0.3121064,0.7549596626922874
296,REM1,2.3078234,0.12417774,0.9011745479572923,OXTR,2.415136,0.32234553,0.7471909428631924,LSR,0.06826473,0.30212075,0.762560011227084,AL391121.1,2.9999895,0.30341014,0.7615773268033844,BIK,1.192286,0.66188574,0.5080444581035066,PLXNB1,0.122547895,0.48082408,0.6306415230511538,ARSI,2.1435385,0.3048931,0.7604475768863468
297,LPAR4,2.3697996,0.12417774,0.9011745479572923,ERBIN,0.07130362,0.32059154,0.7485199528256219,CIDEC,0.07294636,0.3013129,0.7631758988212515,LINC00504,3.0020092,0.3030975,0.7618155615544292,KLK6,0.14197138,0.6610081,0.5086070882201082,KRT7,0.5120122,0.47853193,0.6322716631165616,HMMR,3.3877347,0.30446076,0.7607768918824519
298,NUP37,0.8613358,0.12124051,0.9035005388202964,GLRA2,0.71287525,0.31825286,0.750293128304901,MFSD10,-0.06552899,0.30043542,0.7638450500411232,NAGA,0.4821,0.30282953,0.7620197807388819,FAM229B,0.06019503,0.65426284,0.5129424978909694,ADAMTS3,1.276153,0.4777415,0.6328341955364555,NPC2,0.39736828,0.30138883,0.7631180066118715
299,ITGAX,0.75909865,0.12114473,0.9035764004037313,DERL3,0.8447758,0.31781438,0.7506257459500283,TRARG1,0.24273477,0.3003379,0.763919411076023,APRT,0.060059458,0.29733613,0.7662099071806175,TOR1AIP1,0.24844372,0.65348846,0.5134414143334403,EME2,0.5983263,0.47677326,0.6335235872634926,C6orf132,1.7643908,0.2981804,0.7655654857757455
300,OASL,1.1005706,0.11629192,0.9074211912326755,ARHGAP39,0.27268982,0.31649888,0.7516238767988828,FKBP10,0.12615313,0.29957187,0.7645037520676796,SLC39A4,0.22065923,0.2929146,0.7695874287163279,HIPK2,-0.012069858,0.6516129,0.5146509471307681,PTMA,0.087684855,0.47361162,0.6357768763706753,KBTBD3,0.754394,0.29811212,0.7656175853335242
301,MYO1G,1.1840414,0.116164215,0.9075223996395612,FZD1,0.67871815,0.31627962,0.751790272393891,PHOSPHO2,0.610383,0.2969812,0.7664808789205092,LHPP,-0.03490335,0.29137376,0.7707654753496995,STK11,0.11499918,0.6416842,0.5210782840667769,CHMP7,0.19837095,0.4668734,0.640590443420164,TGFB3,1.081362,0.2977253,0.7659128361816696
302,EYA1,1.5800463,0.11384955,0.9093570606295649,FXR1,0.04326523,0.3134781,0.7539174515542173,MEGF11,0.7234796,0.29642403,0.7669062667233288,ISG20,0.57107586,0.2909495,0.7710899580020405,PRKDC,0.06095701,0.6416497,0.5211006341889397,MADD,0.06399974,0.46477884,0.642089840937232,CLCA4,2.9738643,0.29640552,0.7669204182888285
